A0_1;C9_0;ccaa_etapa;pernoc_etapa
20190400034828;01;04;5
20190400034829;01;04;7
20190400034830;01;04;7
20190400034885;01;04;4
20190400034886;01;04;6
20190400034887;01;04;3
20190400034888;01;04;5
20190400035045;01;10;3
20190400035047;01;10;7
20190400035048;01;10;1
20190400035049;01;10;3
20190400035120;01;10;5
20190400035121;01;10;3
20190400035121;02;01;3
20190400035122;01;10;7
20190400035123;01;10;3
20190400035124;01;10;3
20190400035261;01;14;7
20190400035262;01;14;7
20190400035263;01;14;4
20190400035264;01;14;6
20190400035265;01;14;10
20190400035511;01;16;1
20190400035511;02;07;1
20190400035511;03;11;1
20190400035520;01;16;1
20190400035525;01;15;3
20190400035525;02;16;1
20190400036099;01;09;9
20190400036133;01;09;3
20190400036135;01;09;10
20190400036194;01;04;6
20190400036264;01;04;7
20190400037051;01;13;4
20190400037055;01;10;30
20190400037334;01;09;1
20190400037375;01;12;10
20190400037383;01;12;4
20190400037846;01;13;3
20190400038505;01;12;1
20190400039140;01;09;4
20190400039304;01;04;7
20190400039342;01;04;7
20190400039439;01;04;15
20190400039440;01;04;7
20190400039441;01;04;7
20190400039484;01;04;7
20190400039485;01;04;7
20190400039487;01;04;7
20190400040101;01;09;5
20190400040101;02;13;5
20190400040345;01;13;1
20190400040345;02;09;2
20190400040508;01;09;1
20190400041328;01;13;7
20190400041374;01;12;2
20190400041555;01;16;1
20190400041893;01;07;2
20190400042575;01;12;3
20190400042622;01;16;1
20190400042636;01;07;7
20190400042798;01;09;2
20190400042969;01;04;6
20190400043239;01;04;5
20190400043583;01;16;9
20190400043583;02;07;2
20190400043600;01;01;7
20190400043600;02;07;1
20190400043619;01;03;1
20190400043619;02;03;1
20190400043619;03;06;1
20190400043619;04;16;1
20190400043619;05;16;1
20190400043619;06;03;1
20190500000001;01;09;45
20190500000003;01;09;4
20190500000004;01;09;5
20190500000005;01;09;6
20190500000006;01;09;5
20190500000007;01;09;4
20190500000008;01;09;4
20190500000010;01;09;5
20190500000011;01;09;2
20190500000027;01;09;4
20190500000028;01;09;3
20190500000029;01;09;3
20190500000030;01;09;5
20190500000031;01;02;5
20190500000042;01;09;3
20190500000043;01;09;10
20190500000044;01;09;5
20190500000045;01;09;7
20190500000046;01;09;5
20190500000047;01;09;5
20190500000048;01;09;4
20190500000049;01;09;4
20190500000050;01;09;5
20190500000051;01;05;14
20190500000052;01;09;3
20190500000053;01;09;5
20190500000054;01;09;7
20190500000055;01;09;3
20190500000056;01;13;3
20190500000056;02;09;3
20190500000057;01;09;1
20190500000061;01;09;4
20190500000074;01;09;4
20190500000075;01;09;4
20190500000076;01;09;3
20190500000077;01;09;3
20190500000078;01;09;4
20190500000099;01;09;6
20190500000100;01;09;5
20190500000101;01;09;2
20190500000102;01;10;21
20190500000103;01;09;5
20190500000104;01;09;4
20190500000105;01;09;4
20190500000106;01;09;4
20190500000107;01;09;3
20190500000108;01;09;5
20190500000130;01;04;21
20190500000131;01;04;5
20190500000132;01;04;7
20190500000133;01;04;3
20190500000134;01;04;10
20190500000135;01;04;7
20190500000136;01;04;6
20190500000137;01;04;4
20190500000140;01;04;2
20190500000140;02;04;2
20190500000141;01;04;3
20190500000142;01;04;4
20190500000146;01;04;2
20190500000147;01;04;2
20190500000148;01;04;7
20190500000149;01;04;7
20190500000150;01;04;9
20190500000151;01;04;4
20190500000152;01;04;3
20190500000154;01;04;7
20190500000155;01;04;5
20190500000156;01;04;6
20190500000157;01;04;9
20190500000158;01;04;8
20190500000159;01;04;3
20190500000161;01;04;5
20190500000162;01;04;5
20190500000163;01;04;4
20190500000184;01;04;5
20190500000185;01;04;7
20190500000186;01;04;7
20190500000187;01;04;5
20190500000188;01;04;4
20190500000189;01;04;5
20190500000190;01;04;7
20190500000191;01;04;4
20190500000192;01;04;4
20190500000193;01;04;1
20190500000193;02;04;3
