mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
022019;2;20190100006243;2;2;15;09;14;3;3;6;2800.2259926;132.39484514
022019;2;20190100006244;2;2;15;13;14;3;3;6;3028.383499;165.82059222
022019;2;20190100006245;8;2;15;10;7;1;1;1;1982.0508418;1407.3961314
022019;2;20190100006277;2;2;08;13;20;3;3;6;1118.8893597;227.12199746
022019;2;20190100006279;2;2;14;06;21;3;3;6;2345.8831185;154.22563214
022019;2;20190100006280;8;2;08;13;3;1;3;6;693.63921702;964.17291282
022019;2;20190100006282;2;2;08;13;20;3;3;6;1186.9702453;227.12199746
022019;2;20190100006283;2;2;08;13;14;3;3;6;1035.7353607;227.12199746
022019;2;20190100006531;8;1;07;07;1;1;1;6;202.09752344;3501.9064304
022019;2;20190100006820;2;2;15;09;4;2;1;6;2472.2669765;2421.5933595
022019;2;20190100007226;8;1;08;01;45;3;1;6;1972.3210292;482.43319081
022019;2;20190100007247;8;1;08;01;1;2;1;6;377.75690028;1131.3174706
022019;2;20190100007377;2;2;05;14;5;1;3;6;713.2265728;70.812010185
022019;2;20190100007379;2;2;05;10;10;3;3;6;569.08366969;44.89842782
022019;2;20190100007381;2;2;05;10;3;1;1;1;524.85804419;284.79608536
022019;2;20190100007452;2;2;05;14;2;1;2;6;449.96294988;114.53169696
022019;2;20190100007454;2;2;05;10;2;1;1;6;374.28122158;101.57534874
022019;2;20190100007481;2;2;10;09;6;2;1;6;1190.1729334;1527.4535457
022019;2;20190100007482;2;2;10;09;11;1;1;6;1948.4528284;435.61949667
022019;2;20190100008295;8;1;07;07;1;1;1;6;88.762979745;3501.9064304
022019;2;20190100008410;2;2;15;09;90;3;3;6;14540.741481;280.39781889
022019;2;20190100008456;2;2;15;09;3;2;1;6;2222.1005136;928.94545522
022019;2;20190100008567;2;2;06;04;14;3;3;6;1000.9382622;69.772610638
022019;2;20190100008568;2;2;06;04;3;1;2;6;755.37831246;90.276485642
022019;2;20190100008648;2;2;06;04;1;1;3;6;414.36689045;93.41155962
022019;2;20190100008741;2;2;14;09;13;3;1;6;1712.4214234;1322.4883547
022019;2;20190100008742;2;2;14;09;30;1;1;6;4989.0290402;0.6000822113
022019;2;20190100008918;8;1;08;09;50;2;1;6;2339.6376612;2.0037230898
022019;2;20190100009026;8;3;03;10;1;1;3;6;439.98647645;25.797379007
022019;2;20190100009029;8;3;03;10;1;3;3;6;375.35904208;13.777327284
022019;2;20190100009030;8;3;03;10;1;3;3;6;353.75901233;13.777327284
022019;2;20190100009037;8;3;03;10;2;1;1;6;565.59366538;37.063799022
022019;2;20190100009038;8;3;03;10;2;1;1;6;580.01364513;37.063799022
022019;2;20190100009744;2;2;08;13;2;1;2;6;648.78830099;468.95669725
022019;2;20190100009746;2;2;08;12;23;3;3;6;1249.0615346;208.88581479
022019;2;20190100009747;2;2;08;13;4;1;1;6;1008.6102548;462.87440359
022019;2;20190100010279;8;3;03;09;1;3;2;6;460.2569719;36.469573291
022019;2;20190100010333;2;2;15;09;7;1;1;6;2707.9412691;109.07392721
022019;2;20190100010334;2;2;15;09;4;1;1;6;1635.6628513;230.36730037
022019;2;20190100010534;2;2;08;04;10;3;1;6;742.37949445;14.167492454
022019;2;20190100010535;2;2;08;04;3;3;3;6;482.01154935;8.6657278912
022019;2;20190100010536;2;2;08;04;3;3;3;6;507.27662014;8.6657278912
022019;2;20190100010537;2;2;08;04;2;3;1;6;320.65745682;39.087920694
022019;2;20190100010549;2;2;08;04;10;3;1;6;401.93272747;13.029306898
022019;2;20190100010550;2;2;08;04;4;3;1;6;597.29801476;26.058613796
022019;2;20190100010551;2;2;08;04;7;3;1;6;638.35247071;13.029306898
022019;2;20190100010552;2;2;08;04;2;3;1;6;249.99786474;13.029306898
022019;2;20190100010574;2;2;15;13;4;1;1;6;3039.7921003;741.01839433
022019;2;20190100010576;2;2;15;13;21;3;3;6;3403.970095;405.47119086
022019;2;20190100011183;8;1;07;07;1;1;2;6;153.20191494;3255.3716006
022019;2;20190100011938;2;2;14;07;30;3;3;6;2773.6501848;65.248499154
022019;2;20190100011940;2;2;14;13;19;3;3;6;2196.8664545;547.46205093
022019;2;20190100011941;2;2;14;08;31;3;3;6;3161.4270596;73.003505996
022019;2;20190100011942;2;2;14;01;21;3;3;6;2188.2107665;70.715891469
022019;2;20190100012143;2;2;14;14;25;3;1;6;3046.1201106;66.801044972
022019;2;20190100013475;2;2;08;15;2;1;2;6;460.37034773;192.55731915
022019;2;20190100013478;2;2;08;13;30;3;3;6;1529.5952312;227.12199746
022019;2;20190100013559;2;2;08;12;18;3;3;6;877.57753923;208.88581479
022019;2;20190100013857;8;1;07;10;1;1;2;6;244.01019343;3220.4222541
022019;2;20190100013991;2;2;03;10;3;1;1;6;708.87831626;299.71138953
022019;2;20190100014273;2;3;15;01;7;1;1;6;812.55481027;1813.1577981
022019;2;20190100014320;2;2;15;09;2;2;1;6;2076.0817692;2421.5933595
022019;2;20190100014368;2;2;15;09;2;3;3;6;921.3465761;257.87126746
022019;2;20190100014369;2;2;15;09;10;3;3;6;796.05985933;257.87126746
022019;2;20190100014371;2;2;15;09;9;1;1;6;2401.1797426;66.260447055
022019;2;20190100014414;2;2;10;13;6;1;1;6;1487.3843128;350.01418225
