"mes";"A1";"pais";"ccaa";"A13";"aloja";"motivo";"A16";"gastototal";"gastomedio"
1;2;1;13;16;3;3;6;914.80828247;57.175517654375
1;2;1;13;7;1;3;6;1002.5981326;143.228304657143
1;2;1;13;18;3;3;6;1263.0858383;70.1714354611111
1;2;5;13;3;3;1;6;402.84109748;134.280365826667
1;2;5;13;14;3;3;6;1020.1263087;72.8661649071429
1;2;5;13;2;3;3;6;331.89183791;165.945918955
1;2;1;7;15;3;3;6;874.67904906;58.311936604
1;2;1;13;15;3;3;6;1100.7644384;73.3842958933333
1;2;1;7;14;3;3;6;834.55214907;59.6108677907143
1;2;1;13;3;3;3;6;458.67936774;152.89312258
1;3;2;8;1;3;1;6;398.9323521;398.9323521
1;3;5;10;1;2;1;6;365.83775154;365.83775154
1;2;5;14;20;3;3;6;622.58615412;31.129307706
1;2;5;14;15;3;3;6;480.97961275;32.0653075166667
1;2;5;10;3;3;3;6;269.08684761;89.69561587
1;2;5;10;15;3;1;6;653.02537554;43.535025036
1;2;5;10;7;1;1;6;702.8333427;100.404763242857
1;2;5;10;30;2;1;6;2577.8571217;85.9285707233333
1;2;5;10;19;3;3;6;855.12942705;45.00681195
1;2;15;9;3;1;1;1;1089.1128082;363.037602733333
1;2;15;9;18;3;1;6;2035.5331439;113.085174661111
1;2;15;9;20;3;1;6;3075.7745191;153.788725955
1;2;15;9;3;1;1;6;2398.9696284;799.6565428
1;2;15;13;14;3;1;6;1258.8111053;89.91507895
1;2;15;16;21;3;3;6;2375.3030705;113.10967002381
1;2;15;13;2;1;1;6;667.60462151;333.802310755
1;2;15;13;12;1;1;6;2536.2951795;211.357931625
1;2;15;12;17;1;1;6;2878.7218358;169.336578576471
1;1;8;1;30;3;1;6;1162.5461661;38.75153887
1;1;8;1;30;2;1;6;1591.069195;53.0356398333333
1;2;10;9;7;1;1;6;1434.3545038;204.907786257143
1;2;10;9;8;1;1;6;1568.4797614;196.059970175
1;2;15;9;11;1;3;6;4642.8114089;422.073764445455
1;2;9;10;11;3;3;6;1540.4593022;140.041754745455
1;2;2;10;12;3;3;6;561.46895872;46.7890798933333
1;2;2;10;6;3;3;6;554.3562131;92.3927021833333
1;2;8;10;10;3;3;6;686.83960343;68.683960343
1;2;8;10;6;3;3;6;478.50758511;79.751264185
1;2;8;10;6;3;3;6;478.50758511;79.751264185
1;2;9;10;1;1;2;6;355.77005802;355.77005802
1;2;2;10;14;2;1;6;1487.6342179;106.259586992857
1;2;2;10;25;3;3;6;957.88150594;38.3152602376
1;2;2;10;26;3;3;6;1571.7200025;60.4507693269231
1;2;8;10;16;3;3;6;767.47349861;47.967093663125
1;2;8;10;7;3;3;6;512.0546633;73.1506661857143
1;2;8;10;5;3;3;6;359.28328564;71.856657128
1;2;8;10;7;3;3;6;512.0546633;73.1506661857143
1;2;5;13;14;3;2;6;803.87077399;57.4193409992857
1;2;14;1;4;1;2;6;1374.6128238;343.65320595
1;3;13;9;2;1;1;1;394.57379571;197.286897855
1;3;13;9;3;1;1;1;553.04800636;184.349335453333
1;3;13;13;2;1;1;1;255.87089751;127.935448755
1;3;8;13;4;1;1;1;525.55802356;131.38950589
1;2;5;10;5;3;3;6;300.59934621;60.119869242
1;2;5;14;4;1;1;6;674.45856597;168.6146414925
1;2;5;10;3;1;3;1;545.14057977;181.71352659
1;2;5;10;2;2;3;6;317.19725096;158.59862548
1;2;5;14;15;3;3;6;792.42985074;52.828656716
1;2;14;9;15;3;3;6;1783.6258033;118.908386886667
1;2;14;9;20;3;1;6;1954.8701109;97.743505545
1;2;15;9;12;1;1;6;4198.690011;349.89083425
1;3;14;9;4;1;1;1;607.74434231;151.9360855775
1;2;6;4;6;3;3;6;617.91516864;102.98586144
1;2;6;4;7;1;1;1;1184.8731864;169.267598057143
1;2;6;4;5;3;3;6;731.06905299;146.213810598
1;2;6;4;10;1;2;6;1581.3928588;158.13928588
1;2;6;4;5;1;1;6;1122.4921338;224.49842676
1;2;6;4;4;1;3;6;954.16785655;238.5419641375
1;2;6;4;30;3;3;6;1678.6495519;55.9549850633333
1;2;6;4;14;2;3;6;2061.462134;147.247295285714
1;2;6;4;18;3;1;6;1409.0087496;78.2782638666667
1;2;6;4;8;3;3;6;700.32794495;87.54099311875
1;2;6;4;90;3;1;6;4082.8525223;45.3650280255556
1;2;6;4;12;1;1;6;1847.4444829;153.953706908333
1;2;6;4;7;3;3;6;649.32277878;92.7603969685714
1;2;6;4;5;1;1;1;689.71066084;137.942132168
1;2;6;4;4;1;1;1;913.25731465;228.3143286625
1;2;15;9;10;2;1;6;3117.3977107;311.73977107
1;2;15;15;21;3;3;6;3338.1267505;158.958416690476
1;2;15;13;2;1;1;6;2570.4976762;1285.2488381
1;2;15;13;4;1;1;6;1357.7451291;339.436282275
1;3;15;1;3;1;1;6;938.79885775;312.932952583333
1;3;15;1;3;1;1;6;938.79885775;312.932952583333
1;1;7;11;1;3;1;6;56.56754486;56.56754486
1;2;6;9;3;1;1;1;917.17679352;305.72559784
1;2;6;9;1;3;2;6;267.76744873;267.76744873
1;2;6;9;6;3;1;6;549.63194821;91.6053247016667
1;2;6;9;6;3;1;6;620.0942132;103.349035533333
1;2;6;9;5;1;2;6;1477.7043919;295.54087838
1;2;15;13;3;1;1;6;1069.6856465;356.561882166667
1;2;15;13;3;1;3;6;1069.6856465;356.561882166667
1;2;15;13;4;1;1;6;1357.7451291;339.436282275
1;2;15;13;4;1;1;6;1357.7451291;339.436282275
1;2;15;2;20;3;3;6;1490.1452052;74.50726026
1;2;15;13;3;1;1;6;1069.6856465;356.561882166667
1;2;15;13;5;1;1;6;4671.7966689;934.35933378
1;2;5;13;25;3;3;6;1124.7358499;44.989433996
1;2;1;1;10;3;3;6;718.46791359;71.846791359
1;2;1;11;3;3;3;6;708.66075465;236.22025155
1;2;5;8;17;1;1;6;1216.5850845;71.5638285
1;2;5;7;30;1;1;6;1496.4460281;49.88153427
1;2;1;7;14;3;1;6;855.16707255;61.083362325
1;2;1;1;14;3;1;6;878.52738458;62.7519560414286
1;2;2;4;3;3;3;6;477.45102309;159.15034103
1;2;2;4;3;1;1;6;760.36452613;253.454842043333
1;2;2;4;5;1;1;6;921.77172186;184.354344372
1;2;2;4;2;3;3;6;454.18079667;227.090398335
1;2;2;4;5;1;1;6;1101.947628;220.3895256
1;2;2;4;10;3;1;6;908.1300307;90.81300307
1;2;2;4;30;3;2;6;2015.5891033;67.1863034433333
1;2;2;4;10;1;2;6;1738.96955;173.896955
1;1;8;1;40;3;1;6;1383.3945958;34.584864895
1;1;1;10;45;3;1;6;1335.0071689;29.6668259755556
1;1;8;1;3;3;1;6;529.49848069;176.499493563333
1;1;1;1;45;3;1;6;1646.6934988;36.5931888622222
1;1;8;7;2;3;3;6;323.18070578;161.59035289
1;1;1;16;8;2;1;6;450.22081128;56.27760141
1;3;1;1;1;2;1;6;969.19038937;969.19038937
1;3;15;1;7;3;1;6;708.49115873;101.213022675714
1;3;15;1;3;1;1;6;938.79885775;312.932952583333
1;1;7;16;1;1;2;6;292.21890987;292.21890987
1;2;15;9;2;1;1;6;2147.0711977;1073.53559885
1;2;9;10;10;1;1;1;1509.2025704;150.92025704
1;2;5;10;10;3;3;6;598.97112071;59.897112071
1;2;5;14;180;2;3;6;5940.1985227;33.0011029038889
1;2;5;10;36;2;1;6;1598.1359941;44.3926665027778
1;2;3;10;3;3;3;6;406.92856291;135.642854303333
1;2;5;10;6;1;1;6;653.8846835;108.980780583333
1;2;5;10;21;2;1;6;1404.0546068;66.8597431809524
1;2;5;13;3;1;2;6;660.86932553;220.289775176667
1;2;15;13;5;1;1;6;1229.204907;245.8409814
1;2;15;13;4;1;1;6;1020.2742259;255.068556475
1;2;15;13;5;1;1;6;1642.2778022;328.45556044
1;2;15;13;4;1;1;6;1357.7451291;339.436282275
1;2;15;13;7;1;1;6;1348.8792133;192.697030471429
1;2;15;13;7;1;1;6;1590.0757058;227.153672257143
1;2;15;4;8;1;1;6;1979.1223483;247.3902935375
1;2;15;9;6;1;2;6;3027.321521;504.553586833333
1;3;14;9;2;1;1;1;1255.0843039;627.54215195
1;2;9;10;10;1;1;6;1326.1492365;132.61492365
1;2;9;10;2;1;2;6;503.80386529;251.901932645
1;2;9;10;5;3;3;6;547.94212386;109.588424772
1;2;3;10;6;1;1;6;853.43943364;142.239905606667
1;2;15;7;31;3;3;6;3844.0643054;124.002074367742
1;2;15;1;6;1;2;6;1442.4064559;240.401075983333
1;2;15;14;30;3;3;6;3070.8392524;102.361308413333
1;2;15;13;4;1;2;6;1616.171647;404.04291175
1;2;1;13;15;3;1;6;876.14451493;58.4096343286667
1;2;15;13;30;1;1;6;10136.760316;337.892010533333
1;2;15;13;6;1;1;6;3763.625204;627.270867333333
1;2;15;13;5;1;2;6;2044.7427984;408.94855968
1;2;15;13;30;3;1;6;3614.1815453;120.472718176667
1;2;15;13;7;1;2;6;1744.8590798;249.265582828571
1;2;15;13;3;1;2;6;1268.9578708;422.985956933333
1;1;1;1;7;3;1;6;570.62483382;81.5178334028571
1;1;1;11;2;3;1;6;203.09707471;101.548537355
